Hotel_Name,Address,Rate,Reviews,Airport,City,Starting_Price
Platinum Adisucipto Hotel & Conference,"Jl. Solo No.28, Yogyakarta, Depok, 55282, Indonesia",Fabulous 8.6,41,0.2 km,8.0 km,Rp791.736
Sheraton Mustika Yogyakarta Resort and Spa,"JL Laksda Adisucipto KM 8.7, Depok, Yogyakarta, 55282, Indonesia",Very good 8.4,102,1.1 km,7.1 km,Rp600.000
Harper Mangkubumi by ASTON,"Jl. Mangkubumi No. 52, Yogyakarta, Yogyakarta, 55232, Indonesia",Fabulous 8.8,85,7.7 km,1.2 km,
GQ Hotel Yogyakarta,"Jl Adisucipto No 48, Depok, Yogyakarta, 55281, Indonesia",Very good 8.2,10,1.3 km,6.8 km,Rp2.228.979
INNSiDE by Melia Yogyakarta,"JL. Ring Road Utara, Maguwoharjo, Depok, Yogyakarta, 55282, Indonesia",Very good 8.0,41,2.2 km,7.9 km,Rp520.000
Grand Ambarrukmo Hotel,"Jln. Laksa Adisucipto No. 82, Catur Tunggal, Sleman, Depok, Yogyakarta, 55281, Indonesia",Fabulous 8.8,26,4.1 km,4.1 km,Rp625.455
Grand Mercure Yogyakarta Adi Sucipto,"Jalan Laksda Adi Sucipto No 80, Yogyakarta, 55281, Indonesia",Very good 8.0,33,5.0 km,3.2 km,Rp632.231
Gaia Cosmo Hotel,"Jl. Ipda Tut Harsono No 6, Timoho, Yogyakarta, 55165, Indonesia",Superb 9.2,36,5.0 km,3.0 km,Rp413.223
Grand Keisha Yogyakarta,"Jalan Affandi No. 09, Gejayan, Condongcatur, Yogyakarta, Depok, Yogyakarta, 55281, Indonesia",Fabulous 8.6,9,5.4 km,5.2 km,Rp826.446
Grand Tjokro Yogyakarta,"Jl. Gejayan No. 37, Yogyakarta, Yogyakarta, 55281, Indonesia",Good 6.4,6,5.4 km,2.9 km,Rp693.802
The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON,"Jl Mayjen Sutoyo No. 52, Yogyakarta, Yogyakarta, 55143, Indonesia",Very good 8.4,74,8.5 km,2.2 km,
Novotel Yogyakarta,"Jalan Jendral Sudirman 89, Yogyakarta, Yogyakarta, 55223, Indonesia",Very good 8.0,108,6.6 km,1.9 km,Rp454.545
Swiss-Belboutique Yogyakarta,"Jl. Jend. Sudirman No. 69, Yogyakarta, DI Yogyakarta, 55223, Indonesia",Exceptional 9.4,161,6.9 km,1.6 km,Rp545.454
Hotel Santika Premiere Jogja,"Jalan Jenderal Sudirman No 19, Yogyakarta, Yogyakarta, 55233, Indonesia",Fabulous 8.6,36,7.5 km,1.4 km,Rp660.210
THE 1O1 Yogyakarta Tugu,"Jalan Margoutomo No.103 (Mangkubumi), Yogyakarta, Yogyakarta, 55232, Indonesia",Very good 8.4,39,7.7 km,1.2 km,Rp834.711
Grand Zuri Malioboro Yogyakarta,"Jl. Mangkubumi No.18, Malioboro, Yogyakarta, Yogyakarta, 55232, Indonesia",Fabulous 8.6,26,7.8 km,1.0 km,Rp413.223
Novotel Suites Yogyakarta Malioboro,"Jalan Malioboro 52 58 Suryatmajan, Danurejan, Yogyakarta, Special Region of Yogyakarta, 55001, Indonesia",Exceptional 10.0,1,7.8 km,0.3 km,Rp549.587
Indoluxe Hotel Jogjakarta,"Jl. Palagan Tentara Pelajar No. 106, Sleman, Ngaglik, Yogyakarta, 55581, Indonesia",Exceptional 9.6,8,8.1 km,5.0 km,Rp665.289
Gallery Prawirotaman Hotel,"Jl. Prawirotamana II /Jl Gerilya no.839B, Yogyakarta, Yogyakarta, 55153, Indonesia",Fabulous 8.8,67,8.1 km,2.9 km,Rp546.069
Abadi Hotel Malioboro Jogja,"Jl. Pasar Kembang No.49, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Yogyakarta, Jawa Tengah, 52271, Indonesia",Very good 8.0,1,8.2 km,0.6 km,Rp1.239.771
Hyatt Regency Yogyakarta,"Jalan Palagan Tentara Pelajar, Ngaglik, Yogyakarta, 55581, Indonesia",Superb 9.2,177,8.4 km,6.1 km,Rp796.950
Sofia Boutique Residence,"Jl. Karya Utama, Ngaglik, Jogja, 55581, Indonesia",Exceptional 9.6,9,8.5 km,5.8 km,Rp907.438
Cavinton Hotel Yogyakarta by Tritama Hospitality,"Jl. Letjend Soeprapto No.1, Ngampilan, Yogyakarta, Yogyakarta, 55261, Indonesia",Very good 8.0,6,9.1 km,1.2 km,Rp1.157.126
The Rich Jogja Hotel,"Jl. Magelang Km 6 no 18., Pogung Lor, Yogyakarta, 55284, Indonesia",Good 7.0,18,9.2 km,4.8 km,Rp351.240
ROS-IN HOTEL Yogyakarta,"Jl. Lingkar Selatan No. 110, Sewon, Yogyakarta, 55188, Indonesia",Good 6.6,3,9.4 km,4.6 km,Rp394.215
The Atrium Hotel and Resort Yogyakarta,"Jl. Kebon Agung No. 20 Sendangadi, Mlati, Sleman, Yogyakarta, 55285, Indonesia",Fabulous 8.8,16,9.5 km,5.3 km,Rp619.835
d'Omah Hotel Yogya,"Jalan Parangtritis KM. 8.5 Tembi, Timbulharjo, Sewon, Yogyakarta, 55186, Indonesia",Exceptional 9.4,10,13 km,8.6 km,Rp690.083
Lafayette Boutique Hotel Yogyakarta,"No 409 Jl Ring Road Utara, Desa Manggung, Catur Tunggal, Depok, Yogyakarta, 55281, Indonesia",Fabulous 8.6,6,6.2 km,4.7 km,
